Município,Populacao_2025,Postos_Existentes,Postos_por_100mil
Redenção da Serra,4637,0,0.0
São Sebastião,84280,0,0.0
Potim,20801,1,4.81
Tremembé,53426,5,9.36
Santa Branca,14219,2,14.07
Santa Isabel,54691,8,14.63
Jambeiro,6611,1,15.13
Cachoeira Paulista,32534,5,15.37
Ilhabela,36559,6,16.41
Roseira,11137,2,17.96
Pindamonhangaba,172681,32,18.53
São José dos Campos,727078,135,18.57
Taubaté,322397,62,19.23
Lagoinha,5183,1,19.29
Jacareí,250952,49,19.53
Cruzeiro,76444,15,19.62
Bananal,10097,2,19.81
Campos do Jordão,47956,10,20.85
Guaratinguetá,121916,26,21.33
Lorena,87468,19,21.72
Caraguatatuba,142248,31,21.79
Monteiro Lobato,4205,1,23.78
Piquete,12516,3,23.97
Caçapava,100071,25,24.98
São Bento do Sapucaí,11989,3,25.02
Lavrinhas,7348,2,27.22
Igaratá,10984,3,27.31
Vargem,10863,3,27.62
Natividade da Serra,7155,2,27.95
Ubatuba,97096,28,28.84
Silveiras,6329,2,31.6
Aparecida,33141,13,39.23
Cunha,22460,9,40.07
Arapeí,2355,1,42.46
Paraibuna,17959,8,44.55
Queluz,9074,5,55.1
Areias,3617,2,55.29
Canas,5068,3,59.19
