Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC,latitude,longitude
PR/SP0002686,30/01/2001,1000260,AUTO POSTO MANGUEIRA II LTDA,8226000139,"AVENIDA BRIG JOSE V F LIMA,  1103",,JD ANA EMILIA,12070000,SP,TAUBATE,VIBRA,30/01/2001,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0183051,12/09/2017,1237181,AUTO POSTO CEREJEIRA DO VALE LTDA - EPP,163056000248,"RODOVIA OSWALDO CRUZ,  1640",,JARDIM JULIETA,12090700,SP,TAUBATE,RAIZEN,12/09/2017,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0030544,05/02/2003,1000647,AUTO POSTO KORUJÃO PARAIBUNA LTDA,210913000132,"RODOVIA DOS TAMOIOS,  S/N",KM 46,COMÉRCIO,12260000,SP,PARAIBUNA,VIBRA,05/02/2003,NÃO,,,ADIMPLENTE,-23.4533528,-45.5969005
PR/SP0025263,14/05/2002,1000752,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000130,"RUA DAS ANDORINHAS,  50",0,TRÂNGULO,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,14/05/2002,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0021520,28/02/2002,1000745,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000211,"RUA BARAO DE JACAREI,  300",,CENTRO,12308000,SP,JACAREI,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-23.3021097,-45.9596929
PR/SP0021511,28/02/2002,1000742,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000300,"RODOVIA AMADOR BUENO DA VEIGA,  2150",,NOSSA SENHORA DO PERPETUO SOCORRO,12424590,SP,PINDAMONHANGABA,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-22.949992,-45.4797852
PR/SP0013201,14/09/2001,1000737,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000645,"AVENIDA DOUTOR FRANCISCO LESSA JUNIOR,  776",,SOCORRO,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,14/09/2001,NÃO,,,ADIMPLENTE,-22.9430459,-45.472803
PR/SP0021513,28/02/2002,1000744,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000807,"RUA MAJOR DOS SANTOS MOREIRA,  1094",,CAMPO ALEGRE,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0004926,20/03/2001,1000735,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000998,"AVENIDA DOS BANDEIRANTES,  5236",,INDEPENDENCIA,12061590,SP,TAUBATE,BANDEIRA BRANCA,20/03/2001,NÃO,,,ADIMPLENTE,-23.0488108,-45.5988805
PR/SP0025199,23/04/2002,1000751,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001021,"RUA PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,  538",,JARDIM FLORIDA,12300000,SP,JACAREI,BANDEIRA BRANCA,23/04/2002,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0021525,28/02/2002,1000747,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001102,"AVENIDA CHARLES SCHNNEIDER,  1775",,VL PROGRESSO,12040000,SP,TAUBATE,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0024351,03/04/2002,1000749,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001293,"AVENIDA JOSE OLEGARIO DE BARROS,  1462",,AREÃO,12060400,SP,TAUBATE,BANDEIRA BRANCA,03/04/2002,NÃO,,,ADIMPLENTE,-23.0150712,-45.5561758
PR/SP0013214,14/09/2001,1000738,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001374,"AVENIDA PADROEIRA DO BRASIL,  444",,SÃO ROQUE,12570000,SP,APARECIDA,BANDEIRA BRANCA,14/09/2001,NÃO,,,ADIMPLENTE,-22.8360861,-45.2227352
PR/SP0021536,28/02/2002,1000748,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001536,"AVENIDA SENADOR TEOTONIO VILELA,  2001",,VILA BETANIA,12215000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0021524,28/02/2002,1000746,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001617,"RUA GABRIEL ORTIZ MONTEIRO,  560",,VILA NOGUEIRA,12060300,SP,TAUBATE,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0000872,14/09/2001,1000736,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001706,"PRACA CANDIDO DIAS CASTEJON,  59",A,CENTRO,12245720,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,14/09/2001,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0018995,08/11/2001,1000741,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001889,"RODOVIA VEREADOR ABEL FABRICIO DIAS,  5000",,LOTEAMENTO INDUSTRIAL AGUA PRETA,12402020,SP,PINDAMONHANGABA,BANDEIRA BRANCA,08/11/2001,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0024679,03/04/2002,1000750,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002184,"AVENIDA JOAO BATISTA DE SOUZA SOARES,  2.969",,JARDIM MORUMBI,12236660,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,30/08/2021,NÃO,,,ADIMPLENTE,-23.2461875,-45.9073621
PR/SP0182763,21/02/2005,1035732,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002265,"AVENIDA PRESIDENTE TANCREDO NEVES,  1201",,JD. RES. ANA MARIA,12225000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,21/02/2005,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0164026,05/11/2003,158451,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002508,"RUA SAO JORGE,  21",,SANTANA,12212060,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,05/11/2003,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0195421,24/05/2006,1044097,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002699,"AVENIDA MALEK ASSAD,  690",,JARDIM SANTA MARIA,12328080,SP,JACAREI,BANDEIRA BRANCA,24/05/2006,NÃO,,,ADIMPLENTE,-23.2801062,-45.9720783
PR/SP0196452,09/06/2006,1044487,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002931,"AVENIDA LEOVIGILDO DIAS  VIEIRA,  590",,ITAGUA,11680000,SP,UBATUBA,BANDEIRA BRANCA,09/06/2006,NÃO,,,ADIMPLENTE,-23.4476127,-45.0674955
PR/SP0071520,01/07/2009,1109884,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003075,"AVENIDA DOUTOR  FRANCISCO LESSA JUNIOR,  1205",,CHACARA GALEGA,12422010,SP,PINDAMONHANGABA,BANDEIRA BRANCA,01/07/2009,NÃO,,,ADIMPLENTE,-22.926885,-45.4753658
PR/SP0070422,08/06/2009,1109427,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003156,"AVENIDA FEIRA DE SANTANA,  10",,JARDIM VALE DO SOL,12238000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,08/06/2009,NÃO,,,ADIMPLENTE,-23.2562033,-45.912114
PR/SP0157602,03/09/2014,1208847,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003237,"RODOVIA   OSWALDO CRUZ,  3900",,JARDIM JULIETA,12090700,SP,TAUBATE,BANDEIRA BRANCA,03/09/2014,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0083907,22/06/2010,1162698,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003318,"AVENIDA PRESIDENTE TANCREDO NEVES,  1030",,JARDIM TRÊS JOSÉ,12225000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,22/06/2010,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0139927,06/08/2013,1199394,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003407,"AVENIDA   TARGINO VILELLA NUNES,  789",,VILA NUNES,12603000,SP,LORENA,BANDEIRA BRANCA,06/08/2013,NÃO,,,ADIMPLENTE,-22.7237957,-45.1090584
PR/SP0188034,27/07/2018,1245931,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003580,"RODOVIA GERALDO SCAVONE,  2488",,JARDIM CALIFORNIA,12305490,SP,JACAREI,BANDEIRA BRANCA,27/07/2018,NÃO,,,ADIMPLENTE,-23.2714361,-45.9339522
PR/SP0195811,18/11/2019,1259182,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003660,"RUA DAS EMPRESAS,  80",,LOTEAMENTO SPINOLA DIAS,12522391,SP,GUARATINGUETA,BANDEIRA BRANCA,18/11/2019,NÃO,,,ADIMPLENTE,-22.8164,-45.1925
PR/SP0009113,08/05/2001,1000779,AUTO POSTO SÃO BENTO DO SAPUCAÍ LTDA.,281007000129,"AVENIDA VEREADOR JOSÉ GALDINO BARBOSA,  250",0,CENTRO,12490000,SP,SAO BENTO DO SAPUCAI,BANDEIRA BRANCA,03/10/2007,NÃO,,,ADIMPLENTE,-22.6889,-45.7397
PR/SP0010474,25/07/2001,1000891,JOSE TELMO R SIQUEIRA & CIA LTDA,343122000180,"RUA PAULINO FERNANDES DE CASTRO,  362",,CENTRO,12180000,SP,NATIVIDADE DA SERRA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE,-23.3778,-45.2639
PR/SP0002904,15/03/2001,1000978,POSTO JARDIM DO VALE LTDA,384366000101,"RUA JOSE SEBASTIAO MARINS,  725",,PARQUE RESIDENCIAL BEIRA RIO I,12517440,SP,GUARATINGUETA,ALE,06/08/2025,NÃO,,,ADIMPLENTE,-22.7905468,-45.1844281
PR/SP0003739,15/03/2001,1001051,AUTO POSTO TOLEDO & MENDES LTDA,435152000117,"AVENIDA AUGUSTO GALVAO DE FANCA,  237",,VARZEA GOUVEIA,12530000,SP,CUNHA,VIBRA,23/01/2009,NÃO,,,ADIMPLENTE,-23.0747,-44.96
PR/SP0012607,30/08/2001,1001473,AUTO POSTO PERSEU LTDA,723674000114,"AVENIDA CASSIOPEIA,  1024",,JD SATELITE,12230010,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,30/04/2024,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0003492,15/03/2001,1001643,AUTO POSTO SANTA BRANCA LTDA.,826658000157,"AVENIDA SAO THOMAZ,  430",,VILA HEPACARE,12608180,SP,LORENA,BANDEIRA BRANCA,15/03/2001,NÃO,,,ADIMPLENTE,-22.7425193,-45.1283142
PR/SP0161809,18/02/2008,1062667,AUTO POSTO DIACOV LTDA.,848767000175,"RODOVIA DOS TAMOIOS,  S/N",KM 12 + 624,PERNAMBUCANA,12228845,SP,SAO JOSE DOS CAMPOS,RAIZEN,18/02/2008,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0176167,25/11/2005,1040942,TENDA ATACADO SA,1157555000457,"AVENIDA ANDROMEDA,  229",,JARDIM SATÉLITE,12230002,SP,SAO JOSE DOS CAMPOS,RAIZEN,12/01/2006,NÃO,,,ADIMPLENTE,-23.2323031,-45.8846462
PR/SP0076781,16/10/2009,1153655,TENDA ATACADO SA,1157555002409,"PRACA CHARLES GATES,  90",,CORREGO SECO,12306090,SP,JACAREI,RAIZEN,16/10/2009,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0241594,24/05/2023,1291214,TENDA ATACADO SA,1157555006145,"AVENIDA DOUTOR RAUL NELSON GUARAGNA,  155",,JARDIM SANTA LUZIA,12411025,SP,PINDAMONHANGABA,RAIZEN,24/05/2023,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0028177,07/11/2002,1002272,POSTO FENIX DE LORENA LTDA,1186408000162,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    52 - SENTIDO RJ X SP,VILA IPE,12605530,SP,LORENA,IPIRANGA,13/09/2023,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PR/SP0019470,07/02/2002,1002486,AUTO POSTO  MOREIRA CESAR LTDA,1287005000100,"AVENIDA JOSE AUGUSTO MESQUITA,  318",,MOREIRA CESAR,12440010,SP,PINDAMONHANGABA,BANDEIRA BRANCA,07/02/2002,NÃO,,,ADIMPLENTE,-22.9171017,-45.3634673
PR/SP0003006,15/03/2001,1002961,J.B. ALVES LIMITADA,1511471000127,"RODOVIA VEREADOR ALBINO RODRIGUES NEVES,  S/N",ESQUINA                   ESTR. MUNICIP. SP 56      KM 55,CAFUNDO,7500000,SP,SANTA ISABEL,BANDEIRA BRANCA,17/08/2018,NÃO,,,ADIMPLENTE,-23.3153,-46.2214
PR/SP0002191,30/01/2001,1003027,AUTO POSTO LC PARAISO DO SOL LTDA,1541562000105,"RUA BENEDICTO ALBINO TOMAZ,  105",,JARDIM PARAISO DO SOL,12225212,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,30/01/2001,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
AV/SP0234262,04/07/2008,1069507,HELPJET COMERCIAL LTDA,1543299000193,"RUA   GUARANI,  222",,BARRA DA LAGOA,11689046,SP,UBATUBA,BANDEIRA BRANCA,04/07/2008,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PR/SP0026119,03/09/2002,1003077,AUTO POSTO BOA VENTURA LTDA,1566535000197,"AVENIDA SARAH KUBITSCHEK DE OLIVEIRA,  800",,CENTRO,12630000,SP,CACHOEIRA PAULISTA,RAIZEN,08/10/2012,NÃO,,,ADIMPLENTE,-22.6653,-45.0128
PR/SP0031290,28/03/2003,1003081,AUTO POSTO ASA DE AGUIA EIRELI,1568528000124,"RUA RICARDO EDWARDS,  55",,VL INDUSTRIAL,12220530,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,16/06/2005,NÃO,,,ADIMPLENTE,-23.1811925,-45.8569118
PR/SP0031968,23/03/2005,1056273,AUTO POSTO AGUIA DE OURO LTDA,1659794000162,"AVENIDA IGUAPE,  20",,CID JARDIM,12230720,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,19/07/2007,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0019571,18/01/2002,1003481,AUTO POSTO INFANTE LTDA,1709166000144,"RUA COSTA CABRAL,  1165",,CENTRO,12120000,SP,TREMEMBE,VIBRA,23/01/2009,NÃO,,,ADIMPLENTE,-22.9603848,-45.5433194
PR/SP0005482,04/04/2001,1003635,EDSON RIBEIRO & FILHA LTDA,1779637000190,"RUA VOL BENEDITO SERGIO,  849",,ESTIVA,12050470,SP,TAUBATE,BANDEIRA BRANCA,02/05/2007,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0023256,05/03/2002,1004262,COMERCIAL RUI BARBOSA DE GUARATINGUETÁ LTDA,2068723000158,"AVENIDA RUI BARBOSA,  600",,SANTA RITA,12502010,SP,GUARATINGUETA,BANDEIRA BRANCA,16/10/2003,NÃO,,,ADIMPLENTE,-22.8124775,-45.1782271
PR/SP0015186,07/11/2002,1004332,AUTO POSTO PUGLIESE & CHINAGLIA LTDA,2098500000133,"RODOVIA DOM PEDRO I,  S/N","KM 24,5",JAGUARI,12350000,SP,IGARATA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE,-23.2047,-46.0
PR/SP0025738,11/10/2002,1004378,AUTO POSTO CHAPARRAL SAO JOSE LTDA,2114905000118,"AVENIDA SAO JOAO,  2145",,JARDIM APOLO,12242000,SP,SAO JOSE DOS CAMPOS,IPIRANGA,11/10/2002,NÃO,,,ADIMPLENTE,-23.205095,-45.9054124
PR/SP0001826,23/11/2000,1004468,AUTO POSTO ARAPEI LTDA,2146643000173,"AVENIDA SEBASTIAO ROSA,  1590",,CAPITAO MOR,12870000,SP,ARAPEI,CIAPETRO,23/11/2000,NÃO,,,ADIMPLENTE,-22.6719,-44.9453
PR/SP0018823,14/12/2001,1004540,AUTO POSTO MOTA CUNHA LTDA,2178995000100,"RUA PEDRO MAURICIO MULLER,  51",,CAMPOS DE CUNHA,12530000,SP,CUNHA,BANDEIRA BRANCA,29/10/2019,NÃO,,,ADIMPLENTE,-23.0747,-44.96
PR/SP0001687,21/12/2000,1004612,AUTO POSTO FRANGO JAPA LTDA - EPP,2201426000139,"AVENIDA MASSAGUACU,  185",,MASSAGUACU,11665550,SP,CARAGUATATUBA,VIBRA,21/12/2000,NÃO,,,ADIMPLENTE,-23.5810162,-45.35175
PR/SP0024153,27/03/2002,1005386,AUTO POSTO IPIRANGUINHA DE UBATUBA LTDA,2496227000103,"RODOVIA OSWALDO CRUZ,  3017",KM 94,IPIRANGUINHA,11680000,SP,UBATUBA,VIBRA,27/03/2002,NÃO,,,ADIMPLENTE,-23.4264959,-45.109426
PR/SP0025416,03/09/2002,1005403,AUTO POSTO E LANCHONETE SANT'ANA AREIAS LTDA,2502120000112,"RUA XV DE NOVEMBRO,  600",,CENTRO,12820000,SP,AREIAS,TORRAO,07/11/2024,NÃO,,,ADIMPLENTE,-22.5803,-44.7006
PR/SP0005488,04/04/2001,1005529,CAMARA AUTO POSTO LTDA,2548573000180,"RUA ALEXANDRE FLEMING,  363",,PARQUE  DAS ARVORES,12511310,SP,GUARATINGUETA,VIBRA,22/01/2009,NÃO,,,ADIMPLENTE,-22.7998244,-45.2149231
