Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC
PR/SP0030544,05/02/2003,1000647,AUTO POSTO KORUJÃO PARAIBUNA LTDA,210913000132,"RODOVIA DOS TAMOIOS,  S/N",KM 46,COMÉRCIO,12260000,SP,PARAIBUNA,VIBRA,05/02/2003,NÃO,,,ADIMPLENTE
PR/SP0025263,14/05/2002,1000752,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000130,"RUA DAS ANDORINHAS,  50",0,TRÂNGULO,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,14/05/2002,NÃO,,,ADIMPLENTE
PR/SP0021511,28/02/2002,1000742,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000300,"RODOVIA AMADOR BUENO DA VEIGA,  2150",,NOSSA SENHORA DO PERPETUO SOCORRO,12424590,SP,PINDAMONHANGABA,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE
PR/SP0013201,14/09/2001,1000737,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000645,"AVENIDA DOUTOR FRANCISCO LESSA JUNIOR,  776",,SOCORRO,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,14/09/2001,NÃO,,,ADIMPLENTE
PR/SP0021513,28/02/2002,1000744,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893000807,"RUA MAJOR DOS SANTOS MOREIRA,  1094",,CAMPO ALEGRE,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,28/02/2002,NÃO,,,ADIMPLENTE
PR/SP0013214,14/09/2001,1000738,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001374,"AVENIDA PADROEIRA DO BRASIL,  444",,SÃO ROQUE,12570000,SP,APARECIDA,BANDEIRA BRANCA,14/09/2001,NÃO,,,ADIMPLENTE
PR/SP0018995,08/11/2001,1000741,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893001889,"RODOVIA VEREADOR ABEL FABRICIO DIAS,  5000",,LOTEAMENTO INDUSTRIAL AGUA PRETA,12402020,SP,PINDAMONHANGABA,BANDEIRA BRANCA,08/11/2001,NÃO,,,ADIMPLENTE
PR/SP0196452,09/06/2006,1044487,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893002931,"AVENIDA LEOVIGILDO DIAS  VIEIRA,  590",,ITAGUA,11680000,SP,UBATUBA,BANDEIRA BRANCA,09/06/2006,NÃO,,,ADIMPLENTE
PR/SP0071520,01/07/2009,1109884,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003075,"AVENIDA DOUTOR  FRANCISCO LESSA JUNIOR,  1205",,CHACARA GALEGA,12422010,SP,PINDAMONHANGABA,BANDEIRA BRANCA,01/07/2009,NÃO,,,ADIMPLENTE
PR/SP0139927,06/08/2013,1199394,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,256893003407,"AVENIDA   TARGINO VILELLA NUNES,  789",,VILA NUNES,12603000,SP,LORENA,BANDEIRA BRANCA,06/08/2013,NÃO,,,ADIMPLENTE
PR/SP0010474,25/07/2001,1000891,JOSE TELMO R SIQUEIRA & CIA LTDA,343122000180,"RUA PAULINO FERNANDES DE CASTRO,  362",,CENTRO,12180000,SP,NATIVIDADE DA SERRA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0003739,15/03/2001,1001051,AUTO POSTO TOLEDO & MENDES LTDA,435152000117,"AVENIDA AUGUSTO GALVAO DE FANCA,  237",,VARZEA GOUVEIA,12530000,SP,CUNHA,VIBRA,23/01/2009,NÃO,,,ADIMPLENTE
PR/SP0003492,15/03/2001,1001643,AUTO POSTO SANTA BRANCA LTDA.,826658000157,"AVENIDA SAO THOMAZ,  430",,VILA HEPACARE,12608180,SP,LORENA,BANDEIRA BRANCA,15/03/2001,NÃO,,,ADIMPLENTE
PR/SP0241594,24/05/2023,1291214,TENDA ATACADO SA,1157555006145,"AVENIDA DOUTOR RAUL NELSON GUARAGNA,  155",,JARDIM SANTA LUZIA,12411025,SP,PINDAMONHANGABA,RAIZEN,24/05/2023,NÃO,,,ADIMPLENTE
PR/SP0028177,07/11/2002,1002272,POSTO FENIX DE LORENA LTDA,1186408000162,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    52 - SENTIDO RJ X SP,VILA IPE,12605530,SP,LORENA,IPIRANGA,13/09/2023,NÃO,,,ADIMPLENTE
PR/SP0019470,07/02/2002,1002486,AUTO POSTO  MOREIRA CESAR LTDA,1287005000100,"AVENIDA JOSE AUGUSTO MESQUITA,  318",,MOREIRA CESAR,12440010,SP,PINDAMONHANGABA,BANDEIRA BRANCA,07/02/2002,NÃO,,,ADIMPLENTE
PR/SP0003006,15/03/2001,1002961,J.B. ALVES LIMITADA,1511471000127,"RODOVIA VEREADOR ALBINO RODRIGUES NEVES,  S/N",ESQUINA                   ESTR. MUNICIP. SP 56      KM 55,CAFUNDO,7500000,SP,SANTA ISABEL,BANDEIRA BRANCA,17/08/2018,NÃO,,,ADIMPLENTE
